time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1676794794.50721383,0.00000000,0.00000098,0.00000254,1485.00000000,0.01888757,0.000000,0.000000
1676794794.60768867,0.00000000,0.00000140,0.00000249,1485.00000000,0.01410584,0.000000,0.000000
1676794794.70703673,0.00000000,0.00000091,0.00000358,1485.00000000,0.04954535,0.000000,0.000000
1676794794.80715227,0.00000000,0.00000098,0.00000261,1485.00000000,0.01912569,0.000000,0.000000
1676794794.90718865,0.00000000,0.00000098,0.00000286,1485.00000000,0.02582181,0.000000,0.000000
1676794795.00726056,0.00000000,0.00000140,0.00000277,1485.00000000,0.01802902,0.000000,0.000000
1676794795.10752010,0.00000000,0.00000091,0.00000258,1485.00000000,0.01887848,0.000000,0.000000
1676794795.20702410,0.00000000,0.00000091,0.00000269,1485.00000000,0.01542149,0.000000,0.000000
1676794795.30811858,0.00000000,0.00000091,0.00000285,1485.00000000,0.03713457,0.000000,0.000000
1676794795.40704012,0.00000000,0.00000098,0.00000239,1485.00000000,0.01332081,0.000000,0.000000
1676794795.50834894,0.00000000,0.00000098,0.00000248,1485.00000000,0.01483971,0.000000,0.000000
1676794795.60677862,0.00000000,0.00000098,0.00000243,1485.00000000,0.01754047,0.000000,0.000000
1676794795.70673943,0.00000000,0.00000091,0.00000245,1485.00000000,0.01112706,0.000000,0.000000
1676794795.80870938,0.00000000,0.00000098,0.00000281,1485.00000000,0.02160925,0.000000,0.000000
1676794795.90705013,0.00000000,0.00000098,0.00000253,1485.00000000,0.02012195,0.000000,0.000000
1676794796.00702834,0.00000000,0.00000091,0.00000266,1485.00000000,0.03862615,0.000000,0.000000
1676794796.10758972,0.00000000,0.00000098,0.00000274,1485.00000000,0.02665875,0.000000,0.000000
1676794796.20721126,0.00000000,0.00000098,0.00000280,1485.00000000,0.02051478,0.000000,0.000000
1676794796.30766511,0.00000000,0.00000098,0.00000288,1485.00000000,0.03223847,0.000000,0.000000
1676794796.40815830,0.00000000,0.00000091,0.00000275,1485.00000000,0.02748686,0.000000,0.000000
1676794796.50720429,0.00000000,0.00000098,0.00000302,1485.00000000,0.02188037,0.000000,0.000000
1676794796.60721183,0.00000000,0.00000091,0.00000258,1485.00000000,0.02564063,0.000000,0.000000
1676794796.70762181,0.00000000,0.00000098,0.00000301,1485.00000000,0.01980701,0.000000,0.000000
1676794796.80725765,0.00000000,0.00000091,0.00000395,1485.00000000,0.02733551,0.000000,0.000000
1676794796.90733910,0.00000000,0.00000147,0.00000302,1485.00000000,0.02851571,0.000000,0.000000
1676794797.00815749,0.00000000,0.00000098,0.00000243,1485.00000000,0.02532905,0.000000,0.000000
1676794797.10673475,0.00000000,0.00000091,0.00000273,1485.00000000,0.03380145,0.000000,0.000000
1676794797.20733762,0.00000000,0.00000098,0.00000305,1485.00000000,0.01697395,0.000000,0.000000
1676794797.30722380,0.00000000,0.00000091,0.00000332,1485.00000000,0.03956838,0.000000,0.000000
1676794797.40722728,0.00000000,0.00000098,0.00000260,1485.00000000,0.01138886,0.000000,0.000000
1676794797.50749516,0.00000000,0.00000098,0.00000276,1485.00000000,0.02802147,0.000000,0.000000
1676794797.60684705,0.00000000,0.00000098,0.00000249,1485.00000000,0.03311890,0.000000,0.000000
1676794797.70711398,0.00000000,0.00000098,0.00000310,1485.00000000,0.02449889,0.000000,0.000000
1676794797.80820489,0.00000000,0.00000098,0.00000250,1485.00000000,0.03105407,0.000000,0.000000
1676794797.90794754,0.00000000,0.00000098,0.00000239,1485.00000000,0.01891840,0.000000,0.000000
1676794798.00717354,0.00000000,0.00000098,0.00000276,1485.00000000,0.01774649,0.000000,0.000000
1676794798.10735035,0.00000000,0.00000098,0.00000299,1485.00000000,0.01867352,0.000000,0.000000
1676794798.20767689,0.00000000,0.00000098,0.00000287,1485.00000000,0.02479200,0.000000,0.000000
1676794798.30676174,0.00000000,0.00000098,0.00000272,1485.00000000,0.01505300,0.000000,0.000000
1676794798.40763044,0.00000000,0.00000091,0.00000295,1485.00000000,0.04433400,0.000000,0.000000
1676794798.50809956,0.00000000,0.00000147,0.00000303,1485.00000000,0.02340073,0.000000,0.000000
1676794798.60723972,0.00000000,0.00000098,0.00000348,1485.00000000,0.02396597,0.000000,0.000000
1676794798.70735884,0.00000000,0.00000098,0.00000299,1485.00000000,0.03276016,0.000000,0.000000
1676794798.80712676,0.00000000,0.00000091,0.00000260,1485.00000000,0.01262289,0.000000,0.000000
1676794798.90820670,0.00000000,0.00000140,0.00000240,1485.00000000,0.01415679,0.000000,0.000000
1676794799.00737119,0.00000000,0.00000098,0.00000257,1485.00000000,0.00983953,0.000000,0.000000
1676794799.10836720,0.00000000,0.00000098,0.00000239,1485.00000000,0.01482975,0.000000,0.000000
1676794799.20742178,0.00000000,0.00000147,0.00000300,1485.00000000,0.03440821,0.000000,0.000000
1676794799.30725193,0.00000000,0.00000049,0.00000261,1485.00000000,0.01951380,0.000000,0.000000
1676794799.40679932,0.00000000,0.00000091,0.00000247,1485.00000000,0.00848296,0.000000,0.000000
1676794799.50705051,0.00000000,0.00000140,0.00000254,1485.00000000,0.02026876,0.000000,0.000000
1676794799.60737944,0.00000000,0.00000098,0.00000264,1485.00000000,0.01453139,0.000000,0.000000
1676794799.70730758,0.00000000,0.00000091,0.00000285,1485.00000000,0.01465337,0.000000,0.000000
1676794799.80716157,0.00000000,0.00000098,0.00000268,1485.00000000,0.01182753,0.000000,0.000000
1676794799.90741324,0.00000000,0.00000091,0.00000301,1485.00000000,0.03512470,0.000000,0.000000
1676794800.00802898,0.00000000,0.00000049,0.00000351,1485.00000000,0.02690820,0.000000,0.000000
1676794800.10797310,0.00000000,0.00000098,0.00000289,1485.00000000,0.03929599,0.000000,0.000000
1676794800.20703983,0.00000000,0.00000098,0.00000248,1485.00000000,0.02292578,0.000000,0.000000
1676794800.30703497,0.00000000,0.00000098,0.00000259,1485.00000000,0.00957671,0.000000,0.000000
1676794800.40730000,0.00000000,0.00000091,0.00000236,1485.00000000,0.01248643,0.000000,0.000000
1676794800.50731206,0.00000000,0.00000098,0.00000251,1485.00000000,0.01386546,0.000000,0.000000
1676794800.60841298,0.00000000,0.00000098,0.00000246,1485.00000000,0.02466753,0.000000,0.000000
1676794800.70729375,0.00000000,0.00000091,0.00000354,1485.00000000,0.03757299,0.000000,0.000000
1676794800.80752850,0.00000000,0.00000098,0.00000249,1485.00000000,0.02170506,0.000000,0.000000
1676794800.90678859,0.00000000,0.00000098,0.00000250,1485.00000000,0.03713088,0.000000,0.000000
1676794801.00728464,0.00000000,0.00000098,0.00000307,1485.00000000,0.01415086,0.000000,0.000000
1676794801.10780883,0.00000000,0.00000098,0.00000242,1485.00000000,0.02319496,0.000000,0.000000
1676794801.20729446,0.00000000,0.00000091,0.00000284,1485.00000000,0.02465767,0.000000,0.000000
1676794801.30740118,0.00000000,0.00000091,0.00000265,1485.00000000,0.02571916,0.000000,0.000000
1676794801.40741968,0.00000000,0.00000098,0.00000247,1485.00000000,0.01715652,0.000000,0.000000
1676794801.50717664,0.00000000,0.00000098,0.00000282,1485.00000000,0.04039665,0.000000,0.000000
1676794801.60806894,0.00000000,0.00000091,0.00000290,1485.00000000,0.01987215,0.000000,0.000000
1676794801.70698476,0.00000000,0.00000098,0.00000275,1485.00000000,0.02407281,0.000000,0.000000
1676794801.80719018,0.00000000,0.00000098,0.00000303,1485.00000000,0.03910831,0.000000,0.000000
1676794801.90676618,0.00000000,0.00000091,0.00000259,1485.00000000,0.02774505,0.000000,0.000000
1676794802.00730777,0.00000000,0.00000140,0.00000245,1485.00000000,0.01979492,0.000000,0.000000
1676794802.10817814,0.00000000,0.00000140,0.00000243,1485.00000000,0.00940902,0.000000,0.000000
1676794802.20743275,0.00000000,0.00000098,0.00000271,1485.00000000,0.03469803,0.000000,0.000000
1676794802.30737996,0.00000000,0.00000091,0.00000262,1485.00000000,0.02793545,0.000000,0.000000
1676794802.40685487,0.00000000,0.00000098,0.00000265,1485.00000000,0.03099533,0.000000,0.000000
1676794802.50725126,0.00000000,0.00000098,0.00000285,1485.00000000,0.01083583,0.000000,0.000000
1676794802.60730934,0.00000000,0.00000098,0.00000250,1485.00000000,0.01829533,0.000000,0.000000
1676794802.70746088,0.00000000,0.00000098,0.00000354,1485.00000000,0.02442991,0.000000,0.000000
1676794802.80731821,0.00000000,0.00000098,0.00000286,1485.00000000,0.03646458,0.000000,0.000000
1676794802.90731835,0.00000000,0.00000098,0.00000289,1485.00000000,0.03314584,0.000000,0.000000
1676794803.00783277,0.00000000,0.00000098,0.00000251,1485.00000000,0.02195103,0.000000,0.000000
1676794803.10786104,0.00000000,0.00000098,0.00000303,1485.00000000,0.01857156,0.000000,0.000000
1676794803.20846701,0.00000000,0.00000091,0.00000327,1485.00000000,0.06757453,0.000000,0.000000
1676794803.30743623,0.00000000,0.00000098,0.00000265,1485.00000000,0.03729771,0.000000,0.000000
1676794803.40808535,0.00000000,0.00000098,0.00000300,1485.00000000,0.03614091,0.000000,0.000000
1676794803.50687289,0.00000000,0.00000140,0.00000248,1485.00000000,0.03205472,0.000000,0.000000
1676794803.60684395,0.00000000,0.00000140,0.00000263,1485.00000000,0.02625148,0.000000,0.000000
1676794803.70735908,0.00000000,0.00000098,0.00000279,1485.00000000,0.01855380,0.000000,0.000000
1676794803.80847478,0.00000000,0.00000147,0.00000260,1485.00000000,0.02124424,0.000000,0.000000
1676794803.90735507,0.00000000,0.00000098,0.00000281,1485.00000000,0.02458545,0.000000,0.000000
1676794804.00844932,0.00000000,0.00000147,0.00000278,1485.00000000,0.02345767,0.000000,0.000000
1676794804.10685420,0.00000000,0.00000091,0.00000252,1485.00000000,0.02411738,0.000000,0.000000
1676794804.20729756,0.00000000,0.00000049,0.00000250,1485.00000000,0.02699325,0.000000,0.000000
1676794804.30717468,0.00000000,0.00000098,0.00000289,1485.00000000,0.04569685,0.000000,0.000000
1676794804.40784311,0.00000000,0.00000098,0.00000252,1485.00000000,0.01045917,0.000000,0.000000
1676794804.50730515,0.00000000,0.00000098,0.00000257,1485.00000000,0.01763063,0.000000,0.000000
1676794804.60687828,0.00000000,0.00000140,0.00000275,1485.00000000,0.03267922,0.000000,0.000000
1676794804.70688558,0.00000000,0.00000098,0.00000301,1485.00000000,0.03417865,0.000000,0.000000
1676794804.80735779,0.00000000,0.00000091,0.00000282,1485.00000000,0.02146398,0.000000,0.000000
1676794804.90812063,0.00000000,0.00000098,0.00000417,1485.00000000,0.08386298,0.000000,0.000000
1676794805.00730276,0.00000000,0.00000098,0.00000296,1485.00000000,0.03334800,0.000000,0.000000
1676794805.10690999,0.00000000,0.00000091,0.00000310,1485.00000000,0.03979449,0.000000,0.000000
1676794805.20835614,0.00000000,0.00000091,0.00000274,1485.00000000,0.04333173,0.000000,0.000000
1676794805.30893302,0.00000000,0.00000147,0.00000319,1485.00000000,0.04501639,0.000000,0.000000
1676794805.40851283,0.00000000,0.00000098,0.00000265,1485.00000000,0.02365912,0.000000,0.000000
1676794805.50744009,0.00000000,0.00000140,0.00000289,1485.00000000,0.01854147,0.000000,0.000000
1676794805.60747766,0.00000000,0.00000098,0.00000279,1485.00000000,0.04592438,0.000000,0.000000
1676794805.70731902,0.00000000,0.00000098,0.00000344,1485.00000000,0.02861595,0.000000,0.000000
1676794805.80690312,0.00000000,0.00000091,0.00000308,1485.00000000,0.02686539,0.000000,0.000000
1676794805.90776658,0.00000000,0.00000091,0.00000330,1485.00000000,0.05197825,0.000000,0.000000
